Times,,,,,,,,
273.02,,,,,,,,
261.0166667,,,,,,,,
305.0766667,,,,,,,,
273.0633333,,,,,,,,
237.0916667,,,,,,,,
194.005,,,,,,,,
189.0833333,,,,,,,,
358.0833333,,,,,,,,
375,,,,,,,,
178.0366667,,,,,,,,
375,,,,,,,,
216.0066667,,,,,,,,
192.0533333,,,,,,,,
237.0833333,,,,,,,,
375,,,,,,,,
375,,,,,,,,
263.0733333,,,,,,,,
229.0433333,,,,,,,,
343.0933333,,,,,,,,
375,,,,,,,,
251.095,,,,,,,,
225.0033333,,,,,,,,
375,,,,,,,,
213.005,,,,,,,,
228.01,,,,,,,,
238.0683333,,,,,,,,
212.045,,,,,,,,
186,,,,,,,,
230.0866667,,,,,,,,
224.065,,,,,,,,
273.065,,,,,,,,
375,,,,,,,,
281,,,,,,,,
223.0583333,,,,,,,,
246.0133333,,,,,,,,
178.0916667,,,,,,,,
217.0616667,,,,,,,,
297.0366667,,,,,,,,
201.0683333,,,,,,,,
234.005,,,,,,,,
274.0366667,,,,,,,,
271.0166667,,,,,,,,
224.0216667,,,,,,,,
232.0833333,,,,,,,,
205.0133333,,,,,,,,
230.09,,,,,,,,
284.0766667,,,,,,,,
194.015,,,,,,,,
277.0783333,,,,,,,,
224.09,,,,,,,,
295.0033333,,,,,,,,
309.0716667,,,,,,,,
375,,,,,,,,
299.0866667,,,,,,,,
272.08,,,,,,,,
299.0866667,,,,,,,,
264.0233333,,,,,,,,
234.0466667,,,,,,,,
260.0933333,,,,,,,,
375,,,,,,,,
375,,,,,,,,
228.0566667,,,,,,,,
268.015,,,,,,,,
375,,,,,,,,
208.0666667,,,,,,,,
219.0466667,,,,,,,,
313.0933333,,,,,,,,
199.08,,,,,,,,
176.035,,,,,,,,
205.0666667,,,,,,,,
183.0216667,,,,,,,,
220.0666667,,,,,,,,
375,,,,,,,,
375,,,,,,,,
208.0316667,,,,,,,,
223.0033333,,,,,,,,
174.0466667,,,,,,,,
200.025,,,,,,,,
215.045,,,,,,,,
187.0466667,,,,,,,,
232.09,,,,,,,,
375,,,,,,,,
269.09,,,,,,,,
267.04,,,,,,,,
213.0766667,,,,,,,,
375,,,,,,,,
375,,,,,,,,
375,,,,,,,,
199.055,,,,,,,,
238.0466667,,,,,,,,
253.0266667,,,,,,,,
274.085,,,,,,,,
